Current Phase,Fail to Phase,Software House Id,Project Id,Timestamp,Project Scale
maintenance phase,testing phase,1,4,178.4191899710255,1
design phase,requirements phase,1,7,257.6357602029067,2
design phase,requirements phase,1,7,282.6357602029067,2
maintenance phase,testing phase,1,8,313.65191502539227,2
design phase,requirements phase,1,8,322.65191502539227,2
design phase,requirements phase,1,12,421.64314808271143,3
design phase,requirements phase,1,12,451.64314808271143,3
design phase,requirements phase,1,19,665.1939867261362,2
design phase,requirements phase,1,21,736.0304382355774,2
maintenance phase,testing phase,1,21,765.0304382355774,2
design phase,requirements phase,1,21,772.0304382355774,2
design phase,requirements phase,1,21,789.0304382355774,2
design phase,requirements phase,1,22,793.5121701874974,2
design phase,requirements phase,1,22,808.5121701874974,2
design phase,requirements phase,1,24,862.5648995260093,1
design phase,requirements phase,1,26,919.3112164097969,2
design phase,requirements phase,1,26,940.3112164097969,2
design phase,requirements phase,1,26,949.3112164097969,2
design phase,requirements phase,1,27,953.6067249103437,2
design phase,requirements phase,1,27,983.6067249103437,2
design phase,requirements phase,1,31,1111.0748956582538,2
maintenance phase,testing phase,1,31,1127.0748956582538,2
design phase,requirements phase,1,33,1191.6187925650127,1
design phase,requirements phase,1,37,1305.9115041689777,2
design phase,requirements phase,1,38,1360.0730418730066,3
maintenance phase,testing phase,1,38,1376.0730418730066,3
design phase,requirements phase,1,41,1451.7100144240524,2
design phase,requirements phase,2,3,141.22691001245786,1
design phase,requirements phase,2,5,201.18651168069738,1
maintenance phase,testing phase,2,6,250.70517915746314,1
design phase,requirements phase,2,8,306.62894454287573,1
design phase,requirements phase,2,10,350.32205105615003,3
design phase,requirements phase,2,10,380.32205105615003,3
maintenance phase,testing phase,2,10,399.32205105615003,3
design phase,requirements phase,2,11,421.32205105615003,1
design phase,requirements phase,2,12,457.8931664592321,1
design phase,requirements phase,2,13,483.84621691903516,3
maintenance phase,testing phase,2,12,497.84621691903516,1
design phase,requirements phase,2,18,662.8560624985633,1
design phase,requirements phase,2,19,674.96704473364,3
design phase,requirements phase,2,18,679.8560624985633,1
design phase,requirements phase,2,19,699.96704473364,3
design phase,requirements phase,2,24,872.4753047828444,1
design phase,requirements phase,2,25,909.9069820052541,1
design phase,requirements phase,2,30,1100.1636100755836,1
design phase,requirements phase,2,31,1107.9651239332038,3
design phase,requirements phase,2,33,1196.7812503870232,1
design phase,requirements phase,2,34,1235.1841483558417,1
maintenance phase,testing phase,2,34,1251.1841483558417,1
design phase,requirements phase,2,35,1270.615424230095,1
design phase,requirements phase,2,36,1310.3180724563274,2
maintenance phase,testing phase,2,37,1348.1113048044506,1
maintenance phase,testing phase,2,40,1451.4994824461212,1
design phase,requirements phase,2,41,1476.752133321821,2
design phase,requirements phase,2,41,1482.752133321821,2
design phase,requirements phase,3,5,204.48160514913187,1
design phase,requirements phase,3,7,276.62842998867893,1
design phase,requirements phase,3,8,313.43857868254594,2
design phase,requirements phase,3,9,350.9587041128764,2
design phase,requirements phase,3,9,358.9587041128764,2
design phase,requirements phase,3,11,401.04734859007186,1
design phase,requirements phase,3,12,441.4144613143627,1
design phase,requirements phase,3,12,465.4144613143627,1
design phase,requirements phase,3,15,563.8111703352777,1
design phase,requirements phase,3,15,569.8111703352777,1
design phase,requirements phase,3,21,774.3461645731452,1
maintenance phase,testing phase,3,21,791.3461645731452,1
design phase,requirements phase,3,23,839.2993867753635,1
maintenance phase,testing phase,3,23,856.2993867753635,1
maintenance phase,testing phase,3,27,984.0318332849121,2
design phase,requirements phase,3,28,988.9169866351046,1
design phase,requirements phase,3,29,1038.0271207343592,1
design phase,requirements phase,3,32,1149.008481128922,1
design phase,requirements phase,3,34,1216.0484605502031,2
design phase,requirements phase,3,34,1232.0484605502031,2
design phase,requirements phase,3,36,1269.827495838688,1
design phase,requirements phase,3,37,1316.2483089686614,2
design phase,requirements phase,3,37,1324.2483089686614,2
maintenance phase,testing phase,3,37,1334.2483089686614,2
design phase,requirements phase,3,39,1391.3962068053493,1
design phase,requirements phase,3,40,1436.6583266349023,1
design phase,requirements phase,3,41,1461.6577969086143,1
design phase,requirements phase,3,42,1476.4943777603896,1
design phase,requirements phase,4,1,48.27662284248512,1
design phase,requirements phase,4,7,265.6722108498618,1
design phase,requirements phase,4,9,314.871289150348,1
design phase,requirements phase,4,10,373.85799232369703,1
maintenance phase,testing phase,4,10,393.85799232369703,1
design phase,requirements phase,4,12,442.757554305625,1
design phase,requirements phase,4,19,686.321509987387,2
design phase,requirements phase,4,22,787.5995582505536,2
design phase,requirements phase,4,23,820.1400303694785,2
maintenance phase,testing phase,4,30,1070.8103641630069,1
design phase,requirements phase,4,33,1186.9085250204537,2
maintenance phase,testing phase,4,33,1203.9085250204537,2
design phase,requirements phase,4,35,1245.9657513026827,2
design phase,requirements phase,4,37,1294.9049195781465,1
design phase,requirements phase,4,37,1314.9049195781465,1
design phase,requirements phase,4,40,1418.876840354199,1
design phase,requirements phase,4,40,1434.876840354199,1
design phase,requirements phase,5,2,81.75864601748279,2
maintenance phase,testing phase,5,2,113.75864601748279,2
design phase,requirements phase,5,2,119.75864601748279,2
design phase,requirements phase,5,4,168.7586460174828,2
design phase,requirements phase,5,6,238.68515793026705,3
design phase,requirements phase,5,7,273.7452562092762,1
design phase,requirements phase,5,9,349.17023367879057,1
design phase,requirements phase,5,12,450.8499362653482,3
design phase,requirements phase,5,12,456.8499362653482,3
design phase,requirements phase,5,12,465.8499362653482,3
design phase,requirements phase,5,12,483.8499362653482,3
maintenance phase,testing phase,5,14,529.2031024895964,1
design phase,requirements phase,5,20,724.5363078479326,2
maintenance phase,testing phase,5,21,769.421694852378,2
design phase,requirements phase,5,21,778.421694852378,2
design phase,requirements phase,5,21,794.421694852378,2
design phase,requirements phase,5,26,948.4229012049469,1
design phase,requirements phase,5,27,982.271337502903,1
maintenance phase,testing phase,5,27,1003.271337502903,1
maintenance phase,testing phase,5,29,1050.5191965981576,1
design phase,requirements phase,5,29,1059.5191965981576,1
design phase,requirements phase,5,34,1212.1304172728114,1
design phase,requirements phase,5,34,1226.1304172728114,1
maintenance phase,testing phase,5,38,1370.1745259858794,2
design phase,requirements phase,5,39,1392.423534982636,3
design phase,requirements phase,5,41,1471.936834569288,2
